year,school-1,school-2,score-1,score-2,school-1-result
2023,Braintree,Brookline,83,101,L
2023,Braintree,Framingham,,,
2023,Braintree,Milton,80,106,L
2023,Braintree,Natick,92,82,W
2023,Braintree,Needham,76,101,L
2023,Braintree,Newton North,83,94,L
2023,Braintree,Walpole,97,87,W
2023,Braintree,Wellesley,86,100,L
2023,Braintree,Weymouth,,,
2023,Brookline,Framingham,96,81,W
2023,Brookline,Milton,80,106,L
2023,Brookline,Natick,96,82,W
2023,Brookline,Needham,80,101,L
2023,Brookline,Newton North,89,97,L
2023,Brookline,Walpole,80,50,W
2023,Brookline,Wellesley,85,95,L
2023,Brookline,Weymouth,98,63,W
2023,Framingham,Milton,126,58,W
2023,Framingham,Natick,,,
2023,Framingham,Needham,81,97,L
2023,Framingham,Newton North,81,99,L
2023,Framingham,Walpole,86,68,W
2023,Framingham,Wellesley,78,100,L
2023,Framingham,Weymouth,71,61,W
2023,Milton,Natick,,,
2023,Milton,Needham,95,91,W
2023,Milton,Newton North,99,87,W
2023,Milton,Walpole,,,
2023,Milton,Wellesley,87,99,L
2023,Milton,Weymouth,98,68,W
2023,Natick,Needham,78,100,L
2023,Natick,Newton North,81,107,L
2023,Natick,Walpole,91,56,W
2023,Natick,Wellesley,84,96,L
2023,Natick,Weymouth,91,69,W
2023,Needham,Newton North,99,85,W
2023,Needham,Walpole,87,48,W
2023,Needham,Wellesley,98,86,W
2023,Needham,Weymouth,98,72,W
2023,Newton North,Walpole,91,53,W
2023,Newton North,Wellesley,83,100,L
2023,Newton North,Weymouth,93,83,W
2023,Walpole,Wellesley,48,80,L
2023,Walpole,Weymouth,91,71,W
2023,Wellesley,Weymouth,46,38,W
2022,Braintree,Brookline,79,97,L
2022,Braintree,Framingham,98,88,W
2022,Braintree,Milton,,,
2022,Braintree,Natick,98,82,W
2022,Braintree,Needham,80,97,L
2022,Braintree,Newton North,,,
2022,Braintree,Walpole,97,89,W
2022,Braintree,Wellesley,81,95,L
2022,Braintree,Weymouth,94,78,W
2022,Brookline,Framingham,93,85,W
2022,Brookline,Milton,104,81,W
2022,Brookline,Natick,100,80,W
2022,Brookline,Needham,85,99,L
2022,Brookline,Newton North,98,86,W
2022,Brookline,Walpole,93,76,W
2022,Brookline,Wellesley,80,98,L
2022,Brookline,Weymouth,,,
2022,Framingham,Milton,,,
2022,Framingham,Natick,98.5,85.5,W
2022,Framingham,Needham,85,95,L
2022,Framingham,Newton North,,,
2022,Framingham,Walpole,96,76,W
2022,Framingham,Wellesley,80,95,L
2022,Framingham,Weymouth,,,
2022,Milton,Natick,99,82,W
2022,Milton,Needham,84,100,L
2022,Milton,Newton North,80,104,L
2022,Milton,Walpole,100,84,W
2022,Milton,Wellesley,64,100,L
2022,Milton,Weymouth,,,
2022,Natick,Needham,77,90,L
2022,Natick,Newton North,84,102,L
2022,Natick,Walpole,95,82,W
2022,Natick,Wellesley,76,105,L
2022,Natick,Weymouth,103,73,W
2022,Needham,Newton North,99,85,W
2022,Needham,Walpole,97,75,W
2022,Needham,Wellesley,82,99,L
2022,Needham,Weymouth,85,69,W
2022,Newton North,Walpole,93,82,W
2022,Newton North,Wellesley,73,101,L
2022,Newton North,Weymouth,,,
2022,Walpole,Wellesley,75,88,L
2022,Walpole,Weymouth,,,
2022,Wellesley,Weymouth,87,74,W
2021,Braintree,Brookline,,,
2021,Braintree,Framingham,88,92,L
2021,Braintree,Milton,89,97,L
2021,Braintree,Natick,84,94,L
2021,Braintree,Needham,82,98,L
2021,Braintree,Newton North,,,
2021,Braintree,Walpole,89,97,L
2021,Braintree,Wellesley,71,101,L
2021,Braintree,Weymouth,98,70,W
2021,Brookline,Framingham,,,
2021,Brookline,Milton,81,105,L
2021,Brookline,Natick,95,75,W
2021,Brookline,Needham,88,96,L
2021,Brookline,Newton North,,,
2021,Brookline,Walpole,95,83,W
2021,Brookline,Wellesley,81,100,L
2021,Brookline,Weymouth,,,
2021,Framingham,Milton,94,90,W
2021,Framingham,Natick,96,84,W
2021,Framingham,Needham,78,94,L
2021,Framingham,Newton North,,,
2021,Framingham,Walpole,94,86,W
2021,Framingham,Wellesley,88,93,L
2021,Framingham,Weymouth,,,
2021,Milton,Natick,87,78,W
2021,Milton,Needham,100,84,W
2021,Milton,Newton North,,,
2021,Milton,Walpole,107,79,W
2021,Milton,Wellesley,64,100,L
2021,Milton,Weymouth,79,66,W
2021,Natick,Needham,75,98,L
2021,Natick,Newton North,85,95,L
2021,Natick,Walpole,92,94,L
2021,Natick,Wellesley,78,95,L
2021,Natick,Weymouth,95,61,W
2021,Needham,Newton North,100,84,W
2021,Needham,Walpole,99,75,W
2021,Needham,Wellesley,85,101,L
2021,Needham,Weymouth,102,73,W
2021,Newton North,Walpole,101,89,W
2021,Newton North,Wellesley,86,90,L
2021,Newton North,Weymouth,80,79,W
2021,Walpole,Wellesley,79,96,L
2021,Walpole,Weymouth,93,73,W
2021,Wellesley,Weymouth,129,38,W
2019,Braintree,Brookline,79,99,L
2019,Braintree,Framingham,84,94,L
2019,Braintree,Milton,82,96,L
2019,Braintree,Natick,76,100,L
2019,Braintree,Needham,81,97,L
2019,Braintree,Newton North,76,101,L
2019,Braintree,Walpole,88,93,L
2019,Braintree,Wellesley,78,96,L
2019,Braintree,Weymouth,94,77,W
2019,Brookline,Framingham,,,
2019,Brookline,Milton,,,
2019,Brookline,Natick,94,84,W
2019,Brookline,Needham,82,99,L
2019,Brookline,Newton North,,,
2019,Brookline,Walpole,,,
2019,Brookline,Wellesley,,,L
2019,Brookline,Weymouth,,,
2019,Framingham,Milton,,,
2019,Framingham,Natick,94,87,W
2019,Framingham,Needham,84,97,L
2019,Framingham,Newton North,,,
2019,Framingham,Walpole,,,
2019,Framingham,Wellesley,,,L
2019,Framingham,Weymouth,,,
2019,Milton,Natick,113,70,W
2019,Milton,Needham,87,96,L
2019,Milton,Newton North,,,
2019,Milton,Walpole,,,
2019,Milton,Wellesley,,,L
2019,Milton,Weymouth,,,
2019,Natick,Needham,80,101,L
2019,Natick,Newton North,85,96,L
2019,Natick,Walpole,100,81,W
2019,Natick,Wellesley,86,90,L
2019,Natick,Weymouth,93,59,W
2019,Needham,Newton North,,,W
2019,Needham,Walpole,,,W
2019,Needham,Wellesley,87,99,L
2019,Needham,Weymouth,,,W
2019,Newton North,Walpole,,,
2019,Newton North,Wellesley,,,L
2019,Newton North,Weymouth,,,
2019,Walpole,Wellesley,,,L
2019,Walpole,Weymouth,,,
2019,Wellesley,Weymouth,,,W
2018,Braintree,Brookline,78,93,L
2018,Braintree,Framingham,84,97,L
2018,Braintree,Milton,49,121,L
2018,Braintree,Natick,87,101,L
2018,Braintree,Needham,79,96,L
2018,Braintree,Newton North,84,93,L
2018,Braintree,Walpole,82,99,L
2018,Braintree,Wellesley,78,103,L
2018,Braintree,Weymouth,94,77,W
2018,Brookline,Framingham,,,
2018,Brookline,Milton,,,
2018,Brookline,Natick,,,
2018,Brookline,Needham,85,101,L
2018,Brookline,Newton North,,,
2018,Brookline,Walpole,,,
2018,Brookline,Wellesley,,,L
2018,Brookline,Weymouth,,,
2018,Framingham,Milton,,,
2018,Framingham,Natick,,,
2018,Framingham,Needham,88,98,L
2018,Framingham,Newton North,,,
2018,Framingham,Walpole,,,
2018,Framingham,Wellesley,,,L
2018,Framingham,Weymouth,,,
2018,Milton,Natick,,,
2018,Milton,Needham,86,95,L
2018,Milton,Newton North,,,
2018,Milton,Walpole,,,
2018,Milton,Wellesley,,,L
2018,Milton,Weymouth,,,
2018,Natick,Needham,83,98,L
2018,Natick,Newton North,,,
2018,Natick,Walpole,,,
2018,Natick,Wellesley,,,L
2018,Natick,Weymouth,,,
